Team,Year,OWn%,BtRuns,BtWins,Fld%,Position,Target,CareerLen,Rank,Value,ARI,ATL,CHC,CIN,COL,LAD,MIA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN,BAL,BOS,CHW,CLE,DET,HOU,KCR,LAA,MIN,NYY,OAK,SEA,TBR,TEX,TOR
HOU,2018,0.45899999999999996,-1.4,-0.1,0.997,C,LAA,5,2,11,0,5,1,3,1,2,4,5,2,2,0,0,1,2,2,1,2,1,2,0,17,0,1,2,3,0,1,2,0,3
BOS,2018,0.331,-9.6,-1.0,0.996,C,ARI,3,1,5,3,2,0,0,2,0,0,1,0,0,1,0,1,0,2,2,13,1,1,0,2,0,3,3,0,0,0,0,1,0
CLE,2018,0.0,0.0,0.0,1.0,P,ATL,7,14,24,0,11,2,2,2,1,1,9,2,1,0,1,1,1,1,1,1,0,17,1,1,0,0,0,0,1,0,0,0,1
TOR,2018,0.331,-2.0,-0.2,0.9690000000000001,OF,NYY,3,21,16,0,1,1,1,1,0,0,1,0,3,0,1,1,0,1,0,0,0,9,1,0,0,0,1,0,0,1,0,0,0
MIL,2018,0.43799999999999994,-5.8,-0.6,0.9740000000000001,OF,BAL,5,5,25,0,1,0,0,0,0,1,2,2,1,0,0,0,2,0,0,1,0,1,0,7,0,0,1,0,0,1,1,1,0
SEA,2018,0.0,0.0,0.0,0.889,P,PHI,6,3,15,4,0,2,1,2,1,0,0,0,0,0,3,1,3,0,1,0,0,1,0,0,0,1,0,2,0,3,1,0,1
NYY,2018,0.42700000000000005,-8.2,-0.8,0.9890000000000001,OF,MIA,9,4,1,0,1,0,4,0,0,9,6,9,2,10,0,2,1,1,0,0,0,0,0,0,0,0,2,10,0,0,1,0,1
HOU,2018,0.685,11.6,1.1,1.0,OF,LAD,2,2,11,1,2,0,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1,1,1,0,1
DET,2018,0.0,0.0,0.0,1.0,P,MIL,4,15,19,1,2,1,1,0,1,1,2,0,0,0,0,1,1,0,0,8,1,2,13,3,0,2,0,0,1,0,1,0,0
TBR,2018,0.0,0.0,0.0,1.0,P,CLE,0,22,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STL,2018,0.213,-4.9,-0.5,0.993,OF,WSN,6,10,7,3,8,0,0,0,1,0,1,0,0,0,0,0,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PHI,2018,0.5329999999999999,-3.1,-0.3,0.9890000000000001,C,MIA,2,11,9,0,1,1,3,1,0,3,1,0,4,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,2,5,1
PHI,2018,0.298,-10.7,-1.1,0.99,OF,NYM,4,11,9,1,0,0,0,0,0,0,0,1,12,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
CHC,2018,0.0,0.0,0.0,1.0,P,SEA,7,7,3,2,1,6,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,2,0,1,1,0,0,2,0,1,0
NYM,2018,0.9620000000000001,0.2,0.0,1.0,P,ATL,8,24,6,1,14,0,1,0,0,1,3,13,2,2,1,2,2,7,1,0,0,3,1,1,0,1,2,2,6,1,0,0,1
PHI,2018,0.363,-1.9,-0.2,0.995,OF,LAA,4,11,9,2,0,4,2,2,3,9,1,2,0,0,2,1,0,0,0,0,1,0,1,2,0,2,0,1,2,1,1,0,0
ATL,2018,0.314,-2.8,-0.3,1.0,OF,LAA,8,6,12,0,3,1,1,0,0,0,1,0,5,0,0,5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
STL,2018,0.0,-0.3,0.0,0.9,P,CIN,2,10,7,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ARI,2018,0.0,0.0,0.0,1.0,P,KCR,6,8,20,1,2,2,3,0,1,0,1,0,0,1,4,3,2,1,1,0,0,2,1,0,0,0,1,0,1,1,2,1,0
CIN,2018,0.0,-0.3,0.0,1.0,P,MIA,2,27,28,1,0,1,7,1,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
ARI,2018,0.12,-4.3,-0.4,1.0,OF,TOR,3,8,20,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
MIL,2018,0.45399999999999996,-2.4,-0.2,1.0,OF,NYM,3,5,25,4,2,1,1,0,1,0,6,1,0,4,0,1,0,1,0,1,0,2,2,2,0,3,0,1,0,1,1,0,0
PIT,2018,0.618,13.5,1.3,0.995,C,ATL,10,18,18,0,0,0,0,1,0,0,1,1,2,13,1,3,0,0,0,1,0,0,1,1,1,0,0,3,0,2,0,2,1
ARI,2018,0.107,-7.5,-0.8,1.0,P,WSN,6,8,20,16,3,0,2,2,3,0,1,0,1,1,0,3,1,12,1,1,0,3,0,1,0,2,1,1,0,1,0,0,1
PHI,2018,0.491,-1.8,-0.2,0.9309999999999999,OF,SEA,1,11,9,1,2,1,2,1,2,0,2,1,16,3,0,0,3,1,1,0,1,1,0,2,0,1,0,4,0,3,1,1,4
ARI,2018,0.61,6.1,0.6,0.972,OF,CHC,8,8,20,7,0,0,0,3,1,0,1,0,2,0,0,0,6,0,0,0,0,3,0,0,0,1,1,1,1,2,0,0,1
CHC,2018,0.0,0.0,0.0,0.9,P,SDP,3,7,3,1,1,10,0,0,1,1,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,1,2,0,2,1,1,4,2
LAD,2018,0.37799999999999995,-2.2,-0.2,0.978,OF,CIN,1,12,2,1,1,2,4,0,13,0,1,3,0,3,0,0,0,2,0,0,0,0,1,3,0,3,0,0,1,2,0,0,0
ATL,2018,0.28800000000000003,-8.8,-0.9,0.977,OF,CLE,6,6,12,2,5,2,1,2,1,2,1,1,3,2,0,0,0,0,7,0,1,1,0,2,1,0,0,2,0,0,0,1,0
CHC,2018,0.0,0.0,0.0,1.0,OF,CLE,2,7,3,3,3,9,2,0,1,0,2,2,0,1,0,0,1,2,0,0,0,3,0,0,0,1,1,0,0,2,1,0,0
SDP,2018,0.429,-9.4,-0.9,0.986,OF,CIN,6,19,17,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0
CIN,2018,0.643,19.7,1.9,0.983,OF,SFG,5,27,28,3,4,6,13,2,4,2,14,4,1,3,2,5,4,2,2,3,0,2,1,2,3,5,3,1,1,5,2,1,2
PIT,2018,0.0,-0.8,-0.1,0.929,P,TBR,2,18,18,0,1,2,2,0,1,0,3,1,2,23,0,2,1,1,0,0,0,1,2,0,0,0,2,1,1,0,4,0,3
COL,2018,0.593,-1.3,-0.1,0.991,OF,CHC,10,20,23,0,1,0,0,4,2,1,3,2,0,1,0,1,1,1,0,1,1,1,1,2,1,1,0,0,0,5,0,1,0
CHC,2018,0.669,-0.7,-0.1,1.0,OF,KCR,4,7,3,1,1,1,1,2,0,0,3,0,1,1,0,0,0,0,0,0,1,0,1,1,6,0,0,1,1,0,0,0,0
CIN,2018,0.08199999999999999,-2.3,-0.2,0.938,OF,PHI,5,27,28,3,1,0,2,0,1,0,2,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0
WSN,2018,0.0,0.0,0.0,1.0,P,SFG,3,13,10,0,1,0,2,1,1,1,0,0,1,0,1,3,0,8,0,1,1,1,0,2,0,5,1,0,2,1,1,0,1
STL,2018,0.539,5.4,0.5,0.937,OF,LAD,5,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CIN,2018,0.402,-23.5,-2.4,0.9940000000000001,OF,ATL,5,27,28,6,2,5,12,1,3,2,4,5,4,6,1,2,4,4,3,4,3,5,3,3,4,5,3,4,1,4,2,1,0
PIT,2018,0.39799999999999996,-9.8,-1.0,0.982,OF,DET,7,18,18,2,0,6,4,2,5,1,7,2,2,22,0,3,2,1,2,3,0,5,4,3,2,3,0,4,3,1,1,0,2
SFG,2018,0.0,-11.4,-1.2,0.9229999999999999,P,CHC,9,17,4,2,3,11,0,2,2,2,1,2,0,5,0,5,3,1,2,2,1,4,0,3,1,2,0,1,1,2,1,7,1
CIN,2018,0.0,0.0,0.0,1.0,P,PHI,7,27,28,1,2,0,23,2,5,1,17,2,0,18,0,4,1,1,0,2,0,2,0,0,1,1,0,1,1,1,0,0,3
MIL,2018,0.9890000000000001,1.0,0.1,1.0,P,WSN,6,5,25,0,2,2,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
WSN,2018,0.0,-0.3,0.0,1.0,P,TEX,8,13,10,1,0,0,0,0,0,0,2,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0
STL,2018,0.039,-5.4,-0.5,1.0,C,ARI,2,10,7,12,3,1,1,1,1,2,1,3,1,2,1,1,17,0,1,1,2,0,1,2,1,1,2,0,1,3,2,2,1
LAD,2018,0.593,13.1,1.3,0.988,OF,CIN,12,12,2,1,0,1,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0
MIL,2018,0.326,-9.4,-0.9,0.9940000000000001,C,SFG,8,5,25,2,2,2,3,0,0,1,11,1,2,10,0,7,0,2,0,0,0,11,1,11,3,2,1,7,1,3,1,0,2
SFG,2018,0.0,0.5,0.1,1.0,P,TOR,2,17,4,1,2,0,1,1,0,1,1,0,1,4,1,17,0,1,0,0,0,1,0,1,0,0,0,1,0,1,3,0,1
COL,2018,0.504,-9.8,-1.0,0.993,OF,NYY,7,20,23,0,1,0,0,5,1,0,1,0,2,2,1,0,0,1,0,1,0,1,3,1,0,3,0,0,0,0,0,0,0
MIL,2018,0.9620000000000001,0.6,0.1,1.0,P,KCR,3,5,25,2,1,1,3,1,5,2,17,1,1,0,0,0,1,0,1,0,0,1,0,2,12,0,2,0,1,2,2,0,0
PIT,2018,0.213,-4.2,-0.4,0.982,OF,CLE,1,18,18,0,0,1,0,1,0,0,0,0,0,14,0,1,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,2
STL,2018,0.0,0.0,0.0,1.0,P,PIT,5,10,7,3,0,2,1,0,0,0,0,3,0,1,0,1,11,1,0,0,0,0,0,2,0,1,1,0,0,2,0,0,1
ARI,2018,0.073,-9.8,-1.0,0.986,OF,MIA,3,8,20,3,1,1,4,0,0,1,2,0,0,0,0,0,1,1,0,13,2,3,2,0,1,4,1,0,1,0,1,0,1
ARI,2018,0.217,-15.3,-1.5,0.998,C,TEX,13,8,20,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
SFG,2018,0.0,0.0,0.0,1.0,P,ATL,9,17,4,2,8,3,1,2,1,0,2,4,1,6,0,11,4,3,1,2,0,4,1,2,2,1,1,6,0,3,0,0,1
